reportdate,hg.newissue.vwcoup,hg.all.vwcoup,hy.newissue.vwcoup,hy.all.vwcoup
10/1/2004,0.050663343,0.061700964,0.077885357,0.083461552
11/1/2004,0.050627929,0.060360469,0.075784936,0.083329644
12/1/2004,0.050845839,0.060957796,0.076369187,0.081740902
1/1/2005,0.051688785,0.062066807,0.071259687,0.082617844
2/1/2005,0.049811731,0.059830501,0.074867683,0.083151023
3/1/2005,0.050577741,0.060677304,0.072636601,0.082094302
4/1/2005,0.050922113,0.061405443,0.075542957,0.082019057
5/1/2005,0.051414371,0.060875171,0.075240815,0.081919153
6/1/2005,0.050875018,0.058324432,0.075408747,0.079655253
7/1/2005,0.049865076,0.057916037,0.075351071,0.079796841
8/1/2005,0.050311902,0.057692219,0.071339867,0.07950757
9/1/2005,0.050937696,0.058926729,0.075134324,0.080441536
10/1/2005,0.051953733,0.058261343,0.077177229,0.07925608
11/1/2005,0.052435778,0.058226496,0.075988354,0.079148418
12/1/2005,0.052864831,0.058576727,0.07378947,0.079708398
1/1/2006,0.054520033,0.057519005,0.075545031,0.079670161
2/1/2006,0.055249329,0.058163746,0.074720013,0.078923465
3/1/2006,0.056252438,0.058343303,0.081936899,0.078885646
4/1/2006,0.057694369,0.058814011,0.079514083,0.080102269
5/1/2006,0.060732256,0.05975636,0.081563309,0.080559636
6/1/2006,0.060935321,0.059575773,0.081338985,0.079054769
7/1/2006,0.06157794,0.059374634,0.081823209,0.080294946
8/1/2006,0.06190601,0.059773952,0.086920183,0.080891831
9/1/2006,0.061559568,0.059883782,0.084816242,0.07993022
10/1/2006,0.061337734,0.059380178,0.08178696,0.080432133
11/1/2006,0.061112303,0.05984395,0.083416325,0.079938352
12/1/2006,0.05975768,0.05918602,0.083855143,0.079509909
1/1/2007,0.060592449,0.060079987,0.081991119,0.079772089
2/1/2007,0.059382197,0.059883078,0.086674333,0.07952176
3/1/2007,0.058692148,0.058894218,0.082792106,0.080482327
4/1/2007,0.058513953,0.058890051,0.083587258,0.079362452
5/1/2007,0.059088882,0.059028511,0.080358072,0.079828894
6/1/2007,0.059987112,0.059073228,0.080835711,0.079785399
7/1/2007,0.060933669,0.05961216,0.084378681,0.080859027
8/1/2007,0.061356035,0.059162572,0.086960818,0.080587709
9/1/2007,0.061824113,0.059375943,0.085032891,0.079662647
10/1/2007,0.061804875,0.059824076,0.085667981,0.081079365
11/1/2007,0.061015567,0.058758759,0.086527085,0.082014324
12/1/2007,0.061132002,0.059103647,0.090882805,0.081170721
1/1/2008,0.060646979,0.058508504,0.090611318,0.081417364
2/1/2008,0.059927371,0.058794036,0.091365206,0.080973748
3/1/2008,0.060009517,0.058790891,0.093236316,0.080880427
4/1/2008,0.061967762,0.059848545,0.094505564,0.081596702
5/1/2008,0.060990842,0.059584451,0.089354208,0.079862006
6/1/2008,0.062224978,0.059913792,0.091439359,0.080254813
7/1/2008,0.063135576,0.060142211,0.094072403,0.080341954
8/1/2008,0.062275489,0.059440321,0.096150328,0.080682575
9/1/2008,0.064424227,0.05943847,0.092568666,0.077609522
10/1/2008,0.066212957,0.06049667,0.088062211,0.076867096
11/1/2008,0.070249092,0.061666767,0.090976441,0.07721048
12/1/2008,0.07054243,0.061414088,0.09681527,0.077753045
1/1/2009,0.070347954,0.061931801,0.095516838,0.078642384
2/1/2009,0.065852482,0.061264937,0.09724584,0.078595527
3/1/2009,0.064380854,0.060969359,0.098630131,0.07874682
4/1/2009,0.067373215,0.062458622,0.097270314,0.078282424
5/1/2009,0.064859615,0.062671104,0.092974986,0.077090552
6/1/2009,0.063109824,0.062126337,0.093111633,0.078473371
7/1/2009,0.065318452,0.062263537,0.09341968,0.075194387
8/1/2009,0.063664938,0.061573193,0.086680072,0.07724604
9/1/2009,0.061604758,0.061447771,0.087805908,0.077430419
10/1/2009,0.062210299,0.062005338,0.088794046,0.077392899
11/1/2009,0.058172717,0.061039347,0.088700429,0.077727469
12/1/2009,0.05655775,0.061148278,0.077938628,0.076590882
1/1/2010,0.053954865,0.061193419,0.079913993,0.077994441
2/1/2010,0.053671854,0.060595661,0.084009073,0.079190046
3/1/2010,0.052202642,0.059645896,0.08277709,0.077883795
4/1/2010,0.054245426,0.060488451,0.080082659,0.079190193
5/1/2010,0.054708512,0.060455936,0.079731922,0.080208595
6/1/2010,0.051370921,0.057918716,0.076222333,0.078544781
7/1/2010,0.050499993,0.058072786,0.076107704,0.077903098
8/1/2010,0.046794736,0.055568079,0.081285183,0.080195468
9/1/2010,0.043775499,0.054422059,0.081014537,0.079920236
10/1/2010,0.043655354,0.054851438,0.0837315,0.080185813
11/1/2010,0.041897448,0.053471937,0.081669739,0.080352058
12/1/2010,0.042392489,0.053005016,0.080007651,0.079414017
1/1/2011,0.043187403,0.053379563,0.080726373,0.080117519
2/1/2011,0.043366909,0.053375636,0.074506828,0.079073517
3/1/2011,0.042827105,0.05226468,0.078790516,0.080342687
4/1/2011,0.044299657,0.053322203,0.075041413,0.080223481
5/1/2011,0.042625921,0.051943762,0.074396323,0.079760446
6/1/2011,0.043502362,0.052536986,0.075460459,0.081187587
7/1/2011,0.042448554,0.051410898,0.075806026,0.08148301
8/1/2011,0.041517267,0.050691172,0.077521947,0.081869915
9/1/2011,0.039428364,0.049446729,0.076502203,0.080982998
10/1/2011,0.039842599,0.050178614,0.077683855,0.081399244
11/1/2011,0.038260738,0.049210938,0.074241944,0.079360211
12/1/2011,0.038951611,0.049552048,0.075749117,0.078769437
1/1/2012,0.040416427,0.049262908,0.075424208,0.079404082
2/1/2012,0.037013984,0.047900634,0.07239831,0.078768534
3/1/2012,0.03650678,0.047097814,0.070216569,0.077638437
4/1/2012,0.038663296,0.048037873,0.071363131,0.077773071
5/1/2012,0.035588879,0.04705222,0.069529315,0.077385992
6/1/2012,0.035274197,0.04650911,0.066128507,0.076652632
7/1/2012,0.034203484,0.046340159,0.067462066,0.077762136
8/1/2012,0.032740085,0.045807108,0.062448604,0.075517923
9/1/2012,0.03151285,0.044012118,0.063771597,0.076178322
10/1/2012,0.030866289,0.04398406,0.064845085,0.076449207
11/1/2012,0.031019614,0.04345674,0.064932366,0.076062542
12/1/2012,0.029093117,0.042457971,0.063111787,0.074861673
1/1/2013,0.029919065,0.042185061,0.06097386,0.074399414
2/1/2013,0.030941219,0.043055418,0.060117929,0.073342264
3/1/2013,0.030209478,0.042437216,0.061738769,0.073667753
4/1/2013,0.030709533,0.043051641,0.06455448,0.074486884
5/1/2013,0.029633498,0.04190457,0.058202472,0.07311605
6/1/2013,0.030305098,0.04206718,0.062227589,0.073469095
7/1/2013,0.031074514,0.042281786,0.060681956,0.072357245
8/1/2013,0.032772269,0.042141207,0.060403879,0.071911509
9/1/2013,0.041004419,0.044175951,0.060059502,0.071461464
10/1/2013,0.038149194,0.043317799,0.061921574,0.071702856
11/1/2013,0.038454643,0.043222746,0.062908819,0.072459074
12/1/2013,0.037643517,0.042820583,0.06076722,0.071358396
1/1/2014,0.037833299,0.042285372,0.062064903,0.072350053
2/1/2014,0.037165051,0.042282685,0.06158569,0.071611691
3/1/2014,0.03819233,0.041400188,0.060310172,0.071498433
4/1/2014,0.036293821,0.042000309,0.0636668,0.071654093
5/1/2014,0.036063236,0.041528119,0.061418197,0.071067336
6/1/2014,0.035791445,0.040414415,0.059912586,0.071468667
7/1/2014,0.036810636,0.040609609,0.061171476,0.069775875
8/1/2014,0.035116995,0.040202015,0.061363781,0.069231546
9/1/2014,0.035900938,0.039662289,0.061170761,0.068333036
10/1/2014,0.035577951,0.03972397,0.061882575,0.068677006
11/1/2014,0.035522144,0.039296864,0.060446804,0.067672033
12/1/2014,0.036290449,0.039237396,0.061478211,0.068884085
1/1/2015,0.035095337,0.039054292,0.059855732,0.06758085
2/1/2015,0.033591884,0.038619113,0.062502802,0.068205076
3/1/2015,0.034109383,0.03815554,0.062157457,0.06734638
4/1/2015,0.034704294,0.038742533,0.062696431,0.067826537
5/1/2015,0.034792215,0.037945485,0.063601818,0.067781504
6/1/2015,0.035729798,0.038449604,0.063616173,0.067176362
